team,player,player_off_roster,player_option_year,notes,season,qualifying_salary
Suns,Marcus Morris,FALSE,TRUE,What his salary would have been were his fourth year option exercised,2014-2015,2943221
Suns,Kendall Marshall,FALSE,TRUE,What his salary would have been were his third year option exercised,2014-2015,2091840
Suns,Viacheslav Kravtsov,FALSE,FALSE,130% of previous salary,2014-2015,1950000
Suns,Miles Plumlee,FALSE,TRUE,What his salary would have been were his third year option exercised,2014-2015,1169880
Suns,Malcolm Lee,FALSE,FALSE,"QO - cap hold to be $915,243 (two year veteran's minimum) if no QO offered",2014-2015,1148163
Suns,P.J. Tucker,FALSE,FALSE,"QO - cap hold to be $915,243 (two year veteran's minimum) if no QO offered",2014-2015,1148163
Thunder,Thabo Sefolosha,FALSE,FALSE,190% of previous salary,2014-2015,7410000
Thunder,Reggie Jackson,FALSE,TRUE,What his salary would have been were his fourth year option exercised,2014-2015,2204369
Thunder,Jeremy Lamb,FALSE,TRUE,What his salary would have been were his third year option exercised,2014-2015,2202000
Thunder,Perry Jones III,FALSE,TRUE,What his salary would have been were his third year option exercised,2014-2015,1129200
Thunder,Derek Fisher,FALSE,FALSE,Two year veteran's minimum,2014-2015,915243
Thunder,Ryan Gomes,FALSE,FALSE,Two year veteran's minimum,2014-2015,915243
Timberwolves,Derrick Williams,FALSE,TRUE,What his salary would have been were his fourth year option exercised,2014-2015,6331404
Timberwolves,Ricky Rubio,FALSE,TRUE,What his salary would have been were his fourth year option exercised,2014-2015,4660479
Timberwolves,Dante Cunningham,FALSE,FALSE,190% of previous salary,2014-2015,4142000
Timberwolves,Chris Johnson,FALSE,FALSE,Two year veteran's minimum,2014-2015,915243
Trail Blazers,Thomas Robinson,FALSE,TRUE,What his salary would have been were his third year option exercised,2014-2015,3678360
Trail Blazers,Damian Lillard,FALSE,TRUE,What his salary would have been were his third year option exercised,2014-2015,3340920
Trail Blazers,Mo Williams,FALSE,TRUE,120% of previous salary,2014-2015,3182400
Trail Blazers,Meyers Leonard,FALSE,TRUE,What his salary would have been were his third year option exercised,2014-2015,2317920
Trail Blazers,Terrel Harris,FALSE,FALSE,"QO - cap hold to be $915,243 (two year veteran's minimum) if no QO offered",2014-2015,1115243
Trail Blazers,Earl Watson,FALSE,FALSE,Two year veteran's minimum,2014-2015,915243
Warriors,Andrew Bogut,FALSE,FALSE,"Max salary, 9 years of service - to be adjusted when 2014 max is known",2014-2015,16441500
Warriors,Klay Thompson,FALSE,TRUE,What his salary would have been were his fourth year option exercised,2014-2015,3075880
Warriors,Harrison Barnes,FALSE,TRUE,What his salary would have been were his third year option exercised,2014-2015,3049880
Warriors,Jermaine O'Neal,FALSE,FALSE,120% of previous salary,2014-2015,2400000
Warriors,Toney Douglas,FALSE,FALSE,120% of previous salary,2014-2015,1920000
Warriors,Kent Bazemore,FALSE,FALSE,"QO - cap hold to $915,243 (two year veteran's minimum) if no QO offered",2014-2015,1115243
Warriors,Festus Ezeli,FALSE,TRUE,What his salary would have been were his third year option exercised,2014-2015,1112880
Warriors,Seth Curry,FALSE,FALSE,"QO - cap hold to $816,482 (one year veteran's minimum) if no QO offered",2014-2015,1016482
Warriors,Dewayne Dedmon,FALSE,FALSE,"QO - cap hold to $816,482 (one year veteran's minimum) if no QO offered",2014-2015,1016482
Wizards,Morris Almond,TRUE,FALSE,Two year veteran's minimum,2013-2014,884293
Wizards,Leandro Barbosa,TRUE,FALSE,Two year veteran's minimum,2013-2014,884293
Wizards,Jason Collins,TRUE,FALSE,Two year veteran's minimum,2013-2014,884293
Wizards,Maurice Evans,TRUE,FALSE,Two year veteran's minimum,2013-2014,884293
Wizards,Cartier Martin,TRUE,FALSE,Two year veteran's minimum,2013-2014,884293
Wizards,A.J. Price,TRUE,FALSE,Two year veteran's minimum,2013-2014,884293
Wizards,James Singleton,TRUE,FALSE,Two year veteran's minimum,2013-2014,884293
Wizards,Emeka Okafor,FALSE,FALSE,"Max salary, 10 years of service - to be adjusted when 2014 max is calculated",2014-2015,19181750
Wizards,Trevor Ariza,FALSE,FALSE,150% of previous salary,2014-2015,11590920
Wizards,Kevin Seraphin,FALSE,FALSE,250% of previous salary,2014-2015,6902785
Wizards,Trevor Booker,FALSE,FALSE,250% of previous salary,2014-2015,5877050
Wizards,Bradley Beal,FALSE,TRUE,What his contract would have been were his third year option exercised,2014-2015,4505280
Wizards,Jan Vesely,FALSE,TRUE,What his contract would have been were his fourth year option exercised,2014-2015,4236287
Wizards,Chris Singleton,FALSE,TRUE,What his contract would have been were his fourth year option exercised,2014-2015,2489530
Wizards,Eric Maynor,FALSE,TRUE,120% of previous salary,2014-2015,2419200
Wizards,Al Harrington,FALSE,FALSE,Two year veteran's minimum,2014-2015,915243
Wizards,Garrett Temple,FALSE,FALSE,Two year veteran's minimum,2014-2015,915243
Wizards,Morris Almond,TRUE,FALSE,Two year veteran's minimum,2014-2015,915243
Wizards,Leandro Barbosa,TRUE,FALSE,Two year veteran's minimum,2014-2015,915243
Wizards,Jason Collins,TRUE,FALSE,Two year veteran's minimum,2014-2015,915243
Wizards,Maurice Evans,TRUE,FALSE,Two year veteran's minimum,2014-2015,915243
Wizards,Cartier Martin,TRUE,FALSE,Two year veteran's minimum,2014-2015,915243
Wizards,A.J. Price,TRUE,FALSE,Two year veteran's minimum,2014-2015,915243
Wizards,James Singleton,TRUE,FALSE,Two year veteran's minimum,2014-2015,915243
