"","label","fillColor","player","birthdate","hometown","latitude","longitude","iframe_url","years","mpg","ppg","fg","rpg","apg","pt3","ft","popup"
"740","f","#00bfbf","Greivis Vasquez","16-Jan-87","Caracas, Venezuela",10.491016,-66.902061,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Greivis Vasquez+NBA",3,24.5,9,42.9,2.7,5.7,32.5,80.6,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Greivis Vasquez</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Greivis Vasquez+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Caracas, Venezuela<br>Years: 3<br>PPG: 9<br>MPG: 24.5<br>FG: 42.9<br>APG: 5.7<br>RPG: 2.7<br>3PT Percentage: 32.5<br>FT Percentage: 80.6</td></tr></table>"
"741","f","#00bfbf","Kenneth Faried","19-Nov-89","Newark, NJ, USA",40.735657,-74.1623667,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Kenneth Faried+NBA",2,26.1,11.1,56.2,8.6,0.9,NA,63.3,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Kenneth Faried</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Kenneth Faried+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Newark, NJ, USA<br>Years: 2<br>PPG: 11.1<br>MPG: 26.1<br>FG: 56.2<br>APG: 0.9<br>RPG: 8.6<br>3PT Percentage: NA<br>FT Percentage: 63.3</td></tr></table>"
"742","f","#00bfbf","Dion Glover","22-Oct-78","Marietta, GA, USA",33.952602,-84.5399327,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dion Glover+NBA",6,20.9,8.2,41.1,3.1,1.5,31.7,75.6,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Dion Glover</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dion Glover+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Marietta, GA, USA<br>Years: 6<br>PPG: 8.2<br>MPG: 20.9<br>FG: 41.1<br>APG: 1.5<br>RPG: 3.1<br>3PT Percentage: 31.7<br>FT Percentage: 75.6</td></tr></table>"
"743","f","#00bfbf","Hubert Davis","17-May-70","Winston-Salem, NC, USA",36.0998596,-80.235216,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Hubert Davis+NBA",12,22.1,8.2,45.8,1.5,1.7,44.1,83.7,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Hubert Davis</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Hubert Davis+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Winston-Salem, NC, USA<br>Years: 12<br>PPG: 8.2<br>MPG: 22.1<br>FG: 45.8<br>APG: 1.7<br>RPG: 1.5<br>3PT Percentage: 44.1<br>FT Percentage: 83.7</td></tr></table>"
"744","f","#00bfbf","Jim Krebs","8-Sep-35","Webster Groves, MO, USA",38.5925524,-90.3573389,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Jim Krebs+NBA",7,20.7,8,40.5,6.2,0.8,NA,75.5,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Jim Krebs</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Jim Krebs+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Webster Groves, MO, USA<br>Years: 7<br>PPG: 8<br>MPG: 20.7<br>FG: 40.5<br>APG: 0.8<br>RPG: 6.2<br>3PT Percentage: NA<br>FT Percentage: 75.5</td></tr></table>"
"745","f","#00bfbf","Gene Littles","29-Jun-43","Washington, DC, USA",38.9072309,-77.0154641,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Gene Littles+NBA",6,25.1,9,47.6,3.3,3,24,73.8,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Gene Littles</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Gene Littles+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Washington, DC, USA<br>Years: 6<br>PPG: 9<br>MPG: 25.1<br>FG: 47.6<br>APG: 3<br>RPG: 3.3<br>3PT Percentage: 24<br>FT Percentage: 73.8</td></tr></table>"
"746","f","#00bfbf","Trooper Washington","21-Apr-44","Philadelphia, PA, USA",39.952335,-75.155789,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Trooper Washington+NBA",6,31.1,10.6,53.2,10,2.4,33.3,61.5,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Trooper Washington</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Trooper Washington+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Philadelphia, PA, USA<br>Years: 6<br>PPG: 10.6<br>MPG: 31.1<br>FG: 53.2<br>APG: 2.4<br>RPG: 10<br>3PT Percentage: 33.3<br>FT Percentage: 61.5</td></tr></table>"
"747","f","#00bfbf","Freddie Boyd","13-Jun-50","Bakersfield, CA, USA",35.3732921,-119.0137125,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Freddie Boyd+NBA",6,23.6,8.5,41.4,1.6,3,NA,66.7,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Freddie Boyd</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Freddie Boyd+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Bakersfield, CA, USA<br>Years: 6<br>PPG: 8.5<br>MPG: 23.6<br>FG: 41.4<br>APG: 3<br>RPG: 1.6<br>3PT Percentage: NA<br>FT Percentage: 66.7</td></tr></table>"
"748","f","#00bfbf","James Posey","13-Jan-77","Cleveland, OH, USA",41.4994954,-81.6884088,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=James Posey+NBA",12,26.9,8.6,41,4.7,1.6,34.9,82,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>James Posey</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=James Posey+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Cleveland, OH, USA<br>Years: 12<br>PPG: 8.6<br>MPG: 26.9<br>FG: 41<br>APG: 1.6<br>RPG: 4.7<br>3PT Percentage: 34.9<br>FT Percentage: 82</td></tr></table>"
"749","f","#00bfbf","Dennis Hopson","22-Apr-65","Toledo, OH, USA",41.6639383,-83.555212,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dennis Hopson+NBA",5,22.5,10.9,43.1,2.8,1.6,27.1,76.5,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Dennis Hopson</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dennis Hopson+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Toledo, OH, USA<br>Years: 5<br>PPG: 10.9<br>MPG: 22.5<br>FG: 43.1<br>APG: 1.6<br>RPG: 2.8<br>3PT Percentage: 27.1<br>FT Percentage: 76.5</td></tr></table>"
"750","f","#00bfbf","Larry Krystkowiak","23-Sep-64","Missoula, MT, USA",46.8605189,-114.019501,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Larry Krystkowiak+NBA",9,21.7,8.2,45.7,4.9,1.2,13.9,79.5,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Larry Krystkowiak</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Larry Krystkowiak+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Missoula, MT, USA<br>Years: 9<br>PPG: 8.2<br>MPG: 21.7<br>FG: 45.7<br>APG: 1.2<br>RPG: 4.9<br>3PT Percentage: 13.9<br>FT Percentage: 79.5</td></tr></table>"
"751","f","#00bfbf","Jack Coleman","23-May-24","Burgin, KY, USA",37.7534112,-84.7666148,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Jack Coleman+NBA",9,33.1,10.6,41.6,9.2,2.8,NA,69.5,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Jack Coleman</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Jack Coleman+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Burgin, KY, USA<br>Years: 9<br>PPG: 10.6<br>MPG: 33.1<br>FG: 41.6<br>APG: 2.8<br>RPG: 9.2<br>3PT Percentage: NA<br>FT Percentage: 69.5</td></tr></table>"
"752","f","#00bfbf","Caldwell Jones","4-Aug-50","McGehee, AR, USA",33.6255234,-91.3945566,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Caldwell Jones+NBA",17,27,7.9,47.4,8.2,1.4,12.3,75.6,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Caldwell Jones</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Caldwell Jones+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: McGehee, AR, USA<br>Years: 17<br>PPG: 7.9<br>MPG: 27<br>FG: 47.4<br>APG: 1.4<br>RPG: 8.2<br>3PT Percentage: 12.3<br>FT Percentage: 75.6</td></tr></table>"
"753","f","#00bfbf","Bill McGill","16-Sep-39","San Angelo, TX, USA",31.4637723,-100.4370375,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Bill McGill+NBA",5,17.3,10.5,51.4,4.4,1.1,NA,70.1,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Bill McGill</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Bill McGill+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: San Angelo, TX, USA<br>Years: 5<br>PPG: 10.5<br>MPG: 17.3<br>FG: 51.4<br>APG: 1.1<br>RPG: 4.4<br>3PT Percentage: NA<br>FT Percentage: 70.1</td></tr></table>"
"754","f","#00bfbf","Dale Davis","25-Mar-69","Toccoa, GA, USA",34.5773206,-83.3323851,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dale Davis+NBA",16,27.1,8,53,7.9,0.9,0,56.2,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Dale Davis</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dale Davis+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Toccoa, GA, USA<br>Years: 16<br>PPG: 8<br>MPG: 27.1<br>FG: 53<br>APG: 0.9<br>RPG: 7.9<br>3PT Percentage: 0<br>FT Percentage: 56.2</td></tr></table>"
"755","f","#00bfbf","Corliss Williamson","4-Dec-73","Russellville, AR, USA",35.2784173,-93.1337856,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Corliss Williamson+NBA",12,22.8,11.1,49,3.9,1.2,13.6,71.4,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Corliss Williamson</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Corliss Williamson+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Russellville, AR, USA<br>Years: 12<br>PPG: 11.1<br>MPG: 22.8<br>FG: 49<br>APG: 1.2<br>RPG: 3.9<br>3PT Percentage: 13.6<br>FT Percentage: 71.4</td></tr></table>"
"756","f","#00bfbf","Bob Bedell","26-Jun-44","Los Angeles, CA, USA",34.0522342,-118.1886849,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Bob Bedell+NBA",4,16.6,8.4,42.3,5.2,1.2,19,77.4,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Bob Bedell</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Bob Bedell+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Los Angeles, CA, USA<br>Years: 4<br>PPG: 8.4<br>MPG: 16.6<br>FG: 42.3<br>APG: 1.2<br>RPG: 5.2<br>3PT Percentage: 19<br>FT Percentage: 77.4</td></tr></table>"
"757","f","#00bfbf","Bob Warren","17-Jul-46","Murray, KY, USA",36.6103334,-88.313761,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Bob Warren+NBA",8,20.4,8.9,44,3.2,1.8,26.2,80.1,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Bob Warren</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Bob Warren+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Murray, KY, USA<br>Years: 8<br>PPG: 8.9<br>MPG: 20.4<br>FG: 44<br>APG: 1.8<br>RPG: 3.2<br>3PT Percentage: 26.2<br>FT Percentage: 80.1</td></tr></table>"
"758","f","#00bfbf","Brandon Rush","7-Jul-85","Kansas City, MO, USA",39.0997265,-94.5675667,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Brandon Rush+NBA",5,26.8,9.1,44,3.6,1.1,41.3,72,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Brandon Rush</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Brandon Rush+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Kansas City, MO, USA<br>Years: 5<br>PPG: 9.1<br>MPG: 26.8<br>FG: 44<br>APG: 1.1<br>RPG: 3.6<br>3PT Percentage: 41.3<br>FT Percentage: 72</td></tr></table>"
"759","f","#00bfbf","Jonas Valanciunas","6-May-92","Utena, Lithuania",55.5059039,25.6089219,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Jonas Valanciunas+NBA",1,23.9,8.9,55.7,6,0.7,NA,78.9,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Jonas Valanciunas</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Jonas Valanciunas+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Utena, Lithuania<br>Years: 1<br>PPG: 8.9<br>MPG: 23.9<br>FG: 55.7<br>APG: 0.7<br>RPG: 6<br>3PT Percentage: NA<br>FT Percentage: 78.9</td></tr></table>"
"760","f","#00bfbf","Cliff Meely","10-Jul-47","Rosedale, MS, USA",33.8534421,-91.0278863,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Cliff Meely+NBA",5,19.9,8.4,41.7,5.4,1.3,NA,67.5,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Cliff Meely</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Cliff Meely+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Rosedale, MS, USA<br>Years: 5<br>PPG: 8.4<br>MPG: 19.9<br>FG: 41.7<br>APG: 1.3<br>RPG: 5.4<br>3PT Percentage: NA<br>FT Percentage: 67.5</td></tr></table>"
"761","f","#00bfbf","Anthony Peeler","25-Nov-69","Kansas City, MO, USA",39.0997265,-94.5785667,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Anthony Peeler+NBA",13,24.7,9.7,42.7,2.6,2.4,38.4,79.9,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Anthony Peeler</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Anthony Peeler+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Kansas City, MO, USA<br>Years: 13<br>PPG: 9.7<br>MPG: 24.7<br>FG: 42.7<br>APG: 2.4<br>RPG: 2.6<br>3PT Percentage: 38.4<br>FT Percentage: 79.9</td></tr></table>"
"762","f","#00bfbf","Rickey Green","18-Aug-54","Chicago, IL, USA",41.8781136,-87.6648982,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Rickey Green+NBA",14,24.6,9.4,46.9,1.9,5.5,20.7,80.7,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rickey Green</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Rickey Green+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Chicago, IL, USA<br>Years: 14<br>PPG: 9.4<br>MPG: 24.6<br>FG: 46.9<br>APG: 5.5<br>RPG: 1.9<br>3PT Percentage: 20.7<br>FT Percentage: 80.7</td></tr></table>"
"763","f","#00bfbf","Malik Sealy","1-Feb-70","Bronx, NY, USA",40.85,-73.844667,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Malik Sealy+NBA",8,23.8,10.1,42.6,3.2,1.7,29.2,80.9,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Malik Sealy</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Malik Sealy+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Bronx, NY, USA<br>Years: 8<br>PPG: 10.1<br>MPG: 23.8<br>FG: 42.6<br>APG: 1.7<br>RPG: 3.2<br>3PT Percentage: 29.2<br>FT Percentage: 80.9</td></tr></table>"
"764","f","#00bfbf","Udonis Haslem","9-Jun-80","Miami, FL, USA",25.7889689,-80.2224393,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Udonis Haslem+NBA",10,28.9,8.9,49.5,7.7,1,0,76.5,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Udonis Haslem</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Udonis Haslem+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Miami, FL, USA<br>Years: 10<br>PPG: 8.9<br>MPG: 28.9<br>FG: 49.5<br>APG: 1<br>RPG: 7.7<br>3PT Percentage: 0<br>FT Percentage: 76.5</td></tr></table>"
"765","f","#00bfbf","Jim Thomas","19-Oct-60","Lakeland, FL, USA",28.0394654,-81.9398042,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Jim Thomas+NBA",4,20.9,8.4,47.1,2.6,2.3,17,76.3,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Jim Thomas</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Jim Thomas+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Lakeland, FL, USA<br>Years: 4<br>PPG: 8.4<br>MPG: 20.9<br>FG: 47.1<br>APG: 2.3<br>RPG: 2.6<br>3PT Percentage: 17<br>FT Percentage: 76.3</td></tr></table>"
"766","f","#00bfbf","Charles Edge","23-Feb-50","Hampraca, MI, USA",44.3148443,-85.6023643,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Charles Edge+NBA",2,19.9,7.7,50.2,6.3,0.7,0,63.2,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Charles Edge</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Charles Edge+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Hampraca, MI, USA<br>Years: 2<br>PPG: 7.7<br>MPG: 19.9<br>FG: 50.2<br>APG: 0.7<br>RPG: 6.3<br>3PT Percentage: 0<br>FT Percentage: 63.2</td></tr></table>"
"767","f","#00bfbf","Doug West","27-May-67","Altoona, PA, USA",40.5186809,-78.3937359,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Doug West+NBA",12,24.6,9.6,48.1,2.5,1.9,19.1,80.1,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Doug West</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Doug West+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Altoona, PA, USA<br>Years: 12<br>PPG: 9.6<br>MPG: 24.6<br>FG: 48.1<br>APG: 1.9<br>RPG: 2.5<br>3PT Percentage: 19.1<br>FT Percentage: 80.1</td></tr></table>"
"768","f","#00bfbf","Mike McGee","29-Jul-59","Tyler, TX, USA",32.3512601,-95.2990624,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Mike McGee+NBA",9,17.8,9.6,48.7,2.1,1.2,35.4,59.7,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Mike McGee</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Mike McGee+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Tyler, TX, USA<br>Years: 9<br>PPG: 9.6<br>MPG: 17.8<br>FG: 48.7<br>APG: 1.2<br>RPG: 2.1<br>3PT Percentage: 35.4<br>FT Percentage: 59.7</td></tr></table>"
"769","f","#00bfbf","Rafer Alston","24-Jul-76","New York, NY, USA",40.7143528,-74.0010731,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Rafer Alston+NBA",11,28.9,10.1,38.3,2.8,4.8,35.4,72.9,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rafer Alston</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Rafer Alston+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: New York, NY, USA<br>Years: 11<br>PPG: 10.1<br>MPG: 28.9<br>FG: 38.3<br>APG: 4.8<br>RPG: 2.8<br>3PT Percentage: 35.4<br>FT Percentage: 72.9</td></tr></table>"
"770","f","#00bfbf","MarShon Brooks","26-Jan-89","Long Branch, NJ, USA",40.3042778,-73.9923596,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=MarShon Brooks+NBA",2,19.8,8.5,44,2.4,1.6,30.2,75.2,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>MarShon Brooks</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=MarShon Brooks+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Long Branch, NJ, USA<br>Years: 2<br>PPG: 8.5<br>MPG: 19.8<br>FG: 44<br>APG: 1.6<br>RPG: 2.4<br>3PT Percentage: 30.2<br>FT Percentage: 75.2</td></tr></table>"
"771","f","#00bfbf","John Williams","26-Oct-66","Los Angeles, CA, USA",34.0522342,-118.2256849,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=John Williams+NBA",8,25.2,10.1,45.1,5.1,2.9,22.5,70.4,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>John Williams</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=John Williams+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Los Angeles, CA, USA<br>Years: 8<br>PPG: 10.1<br>MPG: 25.2<br>FG: 45.1<br>APG: 2.9<br>RPG: 5.1<br>3PT Percentage: 22.5<br>FT Percentage: 70.4</td></tr></table>"
"772","f","#00bfbf","Ray Felix","10-Dec-30","New York, NY, USA",40.7143528,-74.0006731,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Ray Felix+NBA",9,23.8,10.9,41.2,8.9,0.7,NA,67.8,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Ray Felix</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Ray Felix+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: New York, NY, USA<br>Years: 9<br>PPG: 10.9<br>MPG: 23.8<br>FG: 41.2<br>APG: 0.7<br>RPG: 8.9<br>3PT Percentage: NA<br>FT Percentage: 67.8</td></tr></table>"
"773","f","#00bfbf","Darrell Armstrong","22-Jun-68","Gastonia, NC, USA",35.262082,-81.1863005,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Darrell Armstrong+NBA",14,23.7,9.2,40.9,2.7,4,33.4,87.1,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Darrell Armstrong</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Darrell Armstrong+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Gastonia, NC, USA<br>Years: 14<br>PPG: 9.2<br>MPG: 23.7<br>FG: 40.9<br>APG: 4<br>RPG: 2.7<br>3PT Percentage: 33.4<br>FT Percentage: 87.1</td></tr></table>"
"774","f","#00bfbf","Ervin Inniger","16-Jan-45","Berne, IN, USA",40.6578242,-84.9519115,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Ervin Inniger+NBA",2,22.7,8.8,43,3.5,1.4,16.7,74.1,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Ervin Inniger</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Ervin Inniger+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Berne, IN, USA<br>Years: 2<br>PPG: 8.8<br>MPG: 22.7<br>FG: 43<br>APG: 1.4<br>RPG: 3.5<br>3PT Percentage: 16.7<br>FT Percentage: 74.1</td></tr></table>"
"775","f","#00bfbf","B.J. Armstrong","9-Sep-67","Detroit, MI, USA",42.331427,-83.0457538,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=B.J. Armstrong+NBA",11,23.8,9.8,47.7,1.8,3.3,42.5,85.6,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>B.J. Armstrong</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=B.J. Armstrong+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Detroit, MI, USA<br>Years: 11<br>PPG: 9.8<br>MPG: 23.8<br>FG: 47.7<br>APG: 3.3<br>RPG: 1.8<br>3PT Percentage: 42.5<br>FT Percentage: 85.6</td></tr></table>"
"776","f","#00bfbf","Antonio Davis","31-Oct-68","Oakland, CA, USA",37.8043637,-122.2571137,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Antonio Davis+NBA",13,28.9,10,44.8,7.5,1.1,8.7,72.7,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Antonio Davis</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Antonio Davis+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Oakland, CA, USA<br>Years: 13<br>PPG: 10<br>MPG: 28.9<br>FG: 44.8<br>APG: 1.1<br>RPG: 7.5<br>3PT Percentage: 8.7<br>FT Percentage: 72.7</td></tr></table>"
"777","f","#00bfbf","Derrick McKey","10-Oct-66","Meridian, MS, USA",32.3643098,-88.701656,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Derrick McKey+NBA",15,29.1,11,48.6,4.7,2.4,31.6,77.9,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Derrick McKey</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Derrick McKey+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Meridian, MS, USA<br>Years: 15<br>PPG: 11<br>MPG: 29.1<br>FG: 48.6<br>APG: 2.4<br>RPG: 4.7<br>3PT Percentage: 31.6<br>FT Percentage: 77.9</td></tr></table>"
