"","player","season","team","games","salary","inflation_adjusted_salary","war","new_contract_source","contract_term","contract_start_season","contract_end_season","year_into_contract","contract_completion_percentage","position"
"2653","Charles Johnson",2000,"Florida Marlins",128,4.6,6.236,2.722,"free agency",5,2001,2006,0,0,"Catcher"
"3117","Darren Dreifort",2000,"Los Angeles Dodgers",32,3.7,5.016,1.6,"re-signinging",5,2001,2006,0,0,"Pitcher"
"3500","Denny Neagle",2000,"Colorado Rockies",34,4.75,6.439,1.676,"free agency",5,2001,2006,0,0,"Pitcher"
"3562","Derek Jeter",2000,"New York Yankees",148,10,13.556,4.6,"re-signinging",10,2001,2011,0,0,"Shortstop"
"5232","Jason Kendall",2000,"Pittsburgh Pirates",152,2.25,3.05,4.5,"re-signinging",6,2001,2007,0,0,"Catcher"
"7295","Mike Mussina",2000,"New York Yankees",34,6.786,9.199,5.6,"free agency",6,2001,2007,0,0,"Pitcher"
"7576","Moises Alou",2000,"Florida Marlins",126,5.25,7.117,2.6,"free agency",5,1997,2002,4,0.8,"Outfielder"
"7737","Nomar Garciaparra",2000,"Boston Red Sox",140,3.7,5.016,7.4,"re-signinging",5,1998,2003,3,0.6,"Shortstop, First Baseman, Third Baseman"
"7869","Omar Vizquel",2000,"Cleveland Indians",156,3,4.067,2.8,"re-signinging",5,1996,2001,5,1,"Shortstop, Third Baseman"
"8145","Preston Wilson",2000,"Florida Marlins",161,0.287,0.389,2,"re-signinging",5,2001,2005,0,0,"Centerfielder"
"8793","Scott Erickson",2000,"Baltimore Orioles",16,6.621,8.975,-1.2,"re-signinging",5,1998,2003,3,0.6,"Pitcher"
"8963","Shawn Green",2000,"Los Angeles Dodgers",162,9.417,12.765,3.1,"re-signinging",6,2000,2006,1,0.17,"Rightfielder, First Baseman"
"9333","Travis Fryman",2000,"Cleveland Indians",155,5.55,7.523,4.8,"re-signinging",5,1998,2003,3,0.6,"Third Baseman, Shortstop"
"1130","Andruw Jones",2001,"Atlanta Braves",161,8.2,10.811,4.9,"re-signinging",6,2002,2008,0,0,"Centerfielder"
"1392","Barry Bonds",2001,"San Francisco Giants",153,10.3,13.579,11.9,"re-signinging",5,2002,2007,0,0,"Leftfielder"
"1707","Bobby Abreu",2001,"Philadelphia Phillies",162,4.983,6.569,5.1,"re-signinging",5,2002,2007,0,0,"Rightfielder"
"1889","Brady Anderson",2001,"Baltimore Orioles",131,7.2,9.492,-0.3,"re-signinging",5,1998,2003,4,0.8,"Outfielder"
"2605","Chan Ho Park",2001,"Texas Rangers",36,9.9,13.052,4.1,"free agency",5,2002,2007,0,0,"Pitcher"
"2631","Charles Johnson",2001,"Florida Marlins",128,5,6.592,2.4,"free agency",5,2001,2006,1,0.2,"Catcher"
"3129","Darren Dreifort",2001,"Los Angeles Dodgers",16,9.4,12.393,-0.2,"re-signinging",5,2001,2006,1,0.2,"Pitcher"
"3487","Denny Neagle",2001,"Colorado Rockies",30,7.2,9.492,1.2,"free agency",5,2001,2006,1,0.2,"Pitcher"
"3698","Derek Jeter",2001,"New York Yankees",150,12.6,16.611,5.1,"re-signinging",10,2001,2011,1,0.1,"Shortstop"
"5146","Jason Giambi",2001,"New York Yankees",154,4.103,5.41,9.1,"free agency",7,2002,2009,0,0,"First Baseman, Designated Hitter, Leftfielder"
"5200","Jason Kendall",2001,"Pittsburgh Pirates",157,5.1,6.724,0.1,"re-signinging",6,2001,2007,1,0.17,"Catcher"
"6054","Jorge Posada",2001,"New York Yankees",138,4.05,5.339,2.9,"re-signinging",5,2002,2007,0,0,"Catcher"
"7367","Mike Mussina",2001,"New York Yankees",34,10,13.184,7.1,"free agency",6,2001,2007,1,0.17,"Pitcher"
"7558","Moises Alou",2001,"Florida Marlins",136,5.25,6.921,2.9,"free agency",5,1997,2002,5,1,"Outfielder"
"7723","Nomar Garciaparra",2001,"Boston Red Sox",21,7.25,9.558,0.4,"re-signinging",5,1998,2003,4,0.8,"Shortstop, First Baseman, Third Baseman"
"8136","Preston Wilson",2001,"Florida Marlins",123,1,1.318,2.7,"re-signinging",5,2001,2005,1,0.2,"Centerfielder"
"8933","Shawn Green",2001,"Los Angeles Dodgers",161,12.167,16.04,7,"re-signinging",6,2000,2006,2,0.33,"Rightfielder, First Baseman"
"9294","Travis Fryman",2001,"Cleveland Indians",98,5.75,7.581,-1,"re-signinging",5,1998,2003,4,0.8,"Third Baseman, Shortstop"
"1164","Andruw Jones",2002,"Atlanta Braves",154,10,12.979,6.6,"re-signinging",6,2002,2008,1,0.17,"Centerfielder"
"1502","Barry Bonds",2002,"San Francisco Giants",143,15,19.468,11.8,"re-signinging",5,2002,2007,1,0.2,"Leftfielder"
"1691","Bobby Abreu",2002,"Philadelphia Phillies",157,6.333,8.22,5.8,"re-signinging",5,2002,2007,1,0.2,"Rightfielder"
"1833","Brady Anderson",2002,"Baltimore Orioles",34,0.2,0.26,-0.2,"re-signinging",5,1998,2003,5,1,"Outfielder"
"2545","Chan Ho Park",2002,"Texas Rangers",25,6.885,8.936,0.4,"free agency",5,2002,2007,1,0.2,"Pitcher"
"2664","Charles Johnson",2002,"Florida Marlins",83,5,6.489,0,"free agency",5,2001,2006,2,0.4,"Catcher"
"3513","Denny Neagle",2002,"Colorado Rockies",35,7,9.085,0.7,"free agency",5,2001,2006,2,0.4,"Pitcher"
"3715","Derek Jeter",2002,"New York Yankees",157,14.6,18.949,3.7,"re-signinging",10,2001,2011,2,0.2,"Shortstop"
"4071","Eric Hinske",2002,"Toronto Blue Jays",151,0.2,0.26,4,"re-signinging",5,2003,2007,0,0,"Third Baseman, Pinch Hitter, Outfielder"
"5092","Jason Giambi",2002,"New York Yankees",155,10.429,13.535,7.1,"free agency",7,2002,2009,1,0.14,"First Baseman, Designated Hitter, Leftfielder"
"5216","Jason Kendall",2002,"Pittsburgh Pirates",145,6.571,8.529,2.3,"re-signinging",6,2001,2007,2,0.33,"Catcher"
"5582","Jim Thome",2002,"Philadelphia Phillies",147,8,10.383,7.4,"free agency",6,2003,2009,0,0,"First Baseman, Designated Hitter, Third Baseman"
"6009","Jorge Posada",2002,"New York Yankees",143,7,9.085,4.1,"re-signinging",5,2002,2007,1,0.2,"Catcher"
"7349","Mike Mussina",2002,"New York Yankees",33,11,14.277,4.5,"free agency",6,2001,2007,2,0.33,"Pitcher"
"7751","Nomar Garciaparra",2002,"Boston Red Sox",156,9,11.681,6.8,"re-signinging",5,1998,2003,5,1,"Shortstop, First Baseman, Third Baseman"
"7963","Pat Burrell",2002,"Philadelphia Phillies",157,1.905,2.472,4.5,"free agency",6,2003,2009,0,0,"Leftfielder, First Baseman"
"8127","Preston Wilson",2002,"Florida Marlins",141,3.5,4.543,1.4,"re-signinging",5,2001,2005,2,0.4,"Centerfielder"
"8809","Scott Erickson",2002,"Baltimore Orioles",29,5.143,6.675,-0.8,"re-signinging",5,1998,2003,5,1,"Pitcher"
"8903","Shawn Green",2002,"Los Angeles Dodgers",158,13.417,17.413,6.9,"re-signinging",6,2000,2006,3,0.5,"Rightfielder, First Baseman"
"9281","Travis Fryman",2002,"Cleveland Indians",118,5.825,7.56,-0.2,"re-signinging",5,1998,2003,5,1,"Third Baseman, Shortstop"
"9563","Vernon Wells",2002,"Toronto Blue Jays",159,0.221,0.287,1.7,"re-signinging",5,2003,2007,0,0,"Centerfielder"
"870","Albert Pujols",2003,"St. Louis Cardinals",157,0.9,1.142,8.6,"re-signinging",7,2004,2011,0,0,"First Baseman, Leftfielder, Third Baseman"
"1147","Andruw Jones",2003,"Atlanta Braves",156,12,15.228,4.9,"re-signinging",6,2002,2008,2,0.33,"Centerfielder"
"1458","Barry Bonds",2003,"San Francisco Giants",130,15.5,19.669,9.2,"re-signinging",5,2002,2007,2,0.4,"Leftfielder"
"1643","Bobby Abreu",2003,"Philadelphia Phillies",158,9.1,11.548,5.3,"re-signinging",5,2002,2007,2,0.4,"Rightfielder"
"2560","Chan Ho Park",2003,"Texas Rangers",7,13,16.497,-0.4,"free agency",5,2002,2007,2,0.4,"Pitcher"
"2642","Charles Johnson",2003,"Florida Marlins",108,7,8.883,0.8,"free agency",5,2001,2006,3,0.6,"Catcher"
"3093","Darren Dreifort",2003,"Los Angeles Dodgers",10,12.4,15.736,0.3,"re-signinging",5,2001,2006,3,0.6,"Pitcher"
"3526","Denny Neagle",2003,"Colorado Rockies",7,9,11.421,-0.7,"free agency",5,2001,2006,3,0.6,"Pitcher"
"3596","Derek Jeter",2003,"New York Yankees",119,15.6,19.796,3.5,"re-signinging",10,2001,2011,3,0.3,"Shortstop"
"4000","Eric Chavez",2003,"Oakland Athletics",156,3.675,4.664,5.3,"re-signinging",6,2004,2010,0,0,"Third Baseman"
"4060","Eric Hinske",2003,"Toronto Blue Jays",124,0.6,0.761,1.9,"re-signinging",5,2003,2007,1,0.2,"Third Baseman, Pinch Hitter, Outfielder"
"5128","Jason Giambi",2003,"New York Yankees",156,11.429,14.503,4.8,"free agency",7,2002,2009,2,0.29,"First Baseman, Designated Hitter, Leftfielder"
"5280","Jason Kendall",2003,"Pittsburgh Pirates",150,8.571,10.877,4.4,"re-signinging",6,2001,2007,3,0.5,"Catcher"
"5560","Jim Thome",2003,"Philadelphia Phillies",159,11.167,14.17,4.7,"free agency",6,2003,2009,1,0.17,"First Baseman, Designated Hitter, Third Baseman"
"6024","Jorge Posada",2003,"New York Yankees",142,8,10.152,5.9,"re-signinging",5,2002,2007,2,0.4,"Catcher"
"7187","Miguel Tejada",2003,"Baltimore Orioles",162,5.125,6.504,4.9,"free agency",6,2004,2010,0,0,"Shortstop, Third Baseman"
"7277","Mike Mussina",2003,"New York Yankees",31,12,15.228,6.6,"free agency",6,2001,2007,3,0.5,"Pitcher"
"7974","Pat Burrell",2003,"Philadelphia Phillies",146,1.25,1.586,0.6,"free agency",6,2003,2009,1,0.17,"Leftfielder, First Baseman"
"8154","Preston Wilson",2003,"Florida Marlins",155,6.5,8.248,2.6,"re-signinging",5,2001,2005,3,0.6,"Centerfielder"
"8918","Shawn Green",2003,"Los Angeles Dodgers",160,15.667,19.881,2,"re-signinging",6,2000,2006,4,0.67,"Rightfielder, First Baseman"
"9443","Vernon Wells",2003,"Toronto Blue Jays",161,0.52,0.66,4.5,"re-signinging",5,2003,2007,1,0.2,"Centerfielder"
"9821","Vladimir Guerrero",2003,"Anaheim Angels",112,11.5,14.593,3.2,"free agency",5,2004,2009,0,0,"Rightfielder"
"327","Adrian Beltre",2004,"Seattle Mariners",156,5,6.18,9.6,"free agency",5,2005,2010,0,0,"Third Baseman"
"654","Albert Pujols",2004,"St. Louis Cardinals",154,7,8.651,8.4,"re-signinging",7,2004,2011,1,0.14,"First Baseman, Leftfielder, Third Baseman"
"1215","Andruw Jones",2004,"Atlanta Braves",154,12.5,15.449,3.2,"re-signinging",6,2002,2008,3,0.5,"Centerfielder"
"1414","Barry Bonds",2004,"San Francisco Giants",147,18,22.246,10.6,"re-signinging",5,2002,2007,3,0.6,"Leftfielder"
"1627","Bobby Abreu",2004,"Philadelphia Phillies",159,10.6,13.101,6.6,"re-signinging",5,2002,2007,3,0.6,"Rightfielder"
"2061","Carl Crawford",2004,"Tampa Bay Devil Rays",152,0.32,0.395,4.9,"re-signinging",6,2005,2011,0,0,"Leftfielder"
"2286","Carlos Beltran",2004,"New York Mets",159,9,11.123,3.545,"free agency",7,2005,2012,0,0,"Centerfielder"
"2575","Chan Ho Park",2004,"Texas Rangers",16,14,17.303,0.5,"free agency",5,2002,2007,3,0.6,"Pitcher"
"2620","Charles Johnson",2004,"Florida Marlins",109,9,11.123,1.3,"free agency",5,2001,2006,4,0.8,"Catcher"
"3105","Darren Dreifort",2004,"Los Angeles Dodgers",60,12.4,15.325,0.1,"re-signinging",5,2001,2006,4,0.8,"Pitcher"
"3647","Derek Jeter",2004,"New York Yankees",154,18.6,22.988,4.2,"re-signinging",10,2001,2011,4,0.4,"Shortstop"
"4045","Eric Chavez",2004,"Oakland Athletics",125,5.325,6.581,5.5,"re-signinging",6,2004,2010,1,0.17,"Third Baseman"
"4115","Eric Hinske",2004,"Toronto Blue Jays",155,0.9,1.112,-0.6,"re-signinging",5,2003,2007,2,0.4,"Third Baseman, Pinch Hitter, Outfielder"
"4762","J.D. Drew",2004,"Los Angeles Dodgers",145,4.2,5.191,8.3,"free agency",5,2005,2010,0,0,"Rightfielder"
"5182","Jason Giambi",2004,"New York Yankees",80,12.429,15.361,-0.1,"free agency",7,2002,2009,3,0.43,"First Baseman, Designated Hitter, Leftfielder"
"5248","Jason Kendall",2004,"Pittsburgh Pirates",147,8.571,10.593,3.9,"re-signinging",6,2001,2007,4,0.67,"Catcher"
"5604","Jim Thome",2004,"Philadelphia Phillies",143,12.167,15.037,3.2,"free agency",6,2003,2009,2,0.33,"First Baseman, Designated Hitter, Third Baseman"
"5686","Jimmy Rollins",2004,"Philadelphia Phillies",154,2.425,2.997,4.7,"re-signinging",5,2005,2010,0,0,"Shortstop"
"5994","Jorge Posada",2004,"New York Yankees",137,9,11.123,3.5,"re-signinging",5,2002,2007,3,0.6,"Catcher"
"7028","Magglio Ordonez",2004,"Detroit Tigers",52,14,17.303,0.9,"free agency",5,2005,2010,0,0,"Rightfielder"
"7262","Miguel Tejada",2004,"Baltimore Orioles",162,5,6.18,7.4,"free agency",6,2004,2010,1,0.17,"Shortstop, Third Baseman"
"7313","Mike Mussina",2004,"New York Yankees",27,16,19.774,2.4,"free agency",6,2001,2007,4,0.67,"Pitcher"
"7952","Pat Burrell",2004,"Philadelphia Phillies",127,4.25,5.253,1.5,"free agency",6,2003,2009,2,0.33,"Leftfielder, First Baseman"
"8118","Preston Wilson",2004,"Florida Marlins",58,9,11.123,-1.1,"re-signinging",5,2001,2005,4,0.8,"Centerfielder"
"8873","Shawn Green",2004,"Los Angeles Dodgers",157,16.667,20.598,2,"re-signinging",6,2000,2006,5,0.83,"Rightfielder, First Baseman"
"9491","Vernon Wells",2004,"Toronto Blue Jays",134,0.87,1.075,4.5,"re-signinging",5,2003,2007,2,0.4,"Centerfielder"
"9707","Victor Martinez",2004,"Cleveland Indians",141,0.304,0.376,3.7,"re-signinging",5,2005,2010,0,0,"Catcher, First Baseman"
"9806","Vladimir Guerrero",2004,"Anaheim Angels",156,11,13.595,5.6,"free agency",5,2004,2009,1,0.2,"Rightfielder"
"57","A.J. Burnett",2005,"Toronto Blue Jays",32,3.65,4.363,3.4,"free agency",5,2006,2011,0,0,"Pitcher"
"477","Adrian Beltre",2005,"Seattle Mariners",156,11.4,13.626,3.2,"free agency",5,2005,2010,1,0.2,"Third Baseman"
"822","Albert Pujols",2005,"St. Louis Cardinals",161,11,13.148,8.4,"re-signinging",7,2004,2011,2,0.29,"First Baseman, Leftfielder, Third Baseman"
"1198","Andruw Jones",2005,"Atlanta Braves",160,13,15.538,6.7,"re-signinging",6,2002,2008,4,0.67,"Centerfielder"
"1342","B.J. Ryan",2005,"Toronto Blue Jays",69,2.6,3.108,2.4,"free agency",5,2006,2011,0,0,"Pitcher"
"1436","Barry Bonds",2005,"San Francisco Giants",14,22,26.296,0.6,"re-signinging",5,2002,2007,4,0.8,"Leftfielder"
"1659","Bobby Abreu",2005,"Philadelphia Phillies",162,13.1,15.658,3.6,"re-signinging",5,2002,2007,4,0.8,"Rightfielder"
"2081","Carl Crawford",2005,"Tampa Bay Devil Rays",156,0.37,0.442,4.3,"re-signinging",6,2005,2011,1,0.17,"Leftfielder"
"2256","Carlos Beltran",2005,"New York Mets",151,11.571,13.831,2.9,"free agency",7,2005,2012,1,0.14,"Centerfielder"
"2590","Chan Ho Park",2005,"Texas Rangers",30,15,17.929,0.3,"free agency",5,2002,2007,4,0.8,"Pitcher"
"3391","David DeJesus",2005,"Kansas City Royals",122,0.32,0.382,4.4,"re-signinging",5,2006,2011,0,0,"Outfielder"
"3415","David Wright",2005,"New York Mets",160,0.322,0.385,4.7,"re-signinging",6,2006,2012,0,0,"Third Baseman"
"3545","Derek Jeter",2005,"New York Yankees",159,19.6,23.427,3.8,"re-signinging",10,2001,2011,5,0.5,"Shortstop"
"3760","Derrek Lee",2005,"Chicago Cubs",158,7.667,9.164,7.7,"re-signinging",5,2006,2010,0,0,"First Baseman"
"3955","Eric Chavez",2005,"Oakland Athletics",160,8.5,10.16,4.7,"re-signinging",6,2004,2010,2,0.33,"Third Baseman"
"4093","Eric Hinske",2005,"Toronto Blue Jays",147,3.1,3.705,1.1,"re-signinging",5,2003,2007,3,0.6,"Third Baseman, Pinch Hitter, Outfielder"
"4368","Grady Sizemore",2005,"Cleveland Indians",158,0.318,0.38,6.6,"re-signinging",6,2006,2011,0,0,"Centerfielder"
"4801","J.D. Drew",2005,"Los Angeles Dodgers",72,9.4,11.235,3.2,"free agency",5,2005,2010,1,0.2,"Rightfielder"
"5074","Jason Giambi",2005,"New York Yankees",139,13.429,16.051,4.6,"free agency",7,2002,2009,4,0.57,"First Baseman, Designated Hitter, Leftfielder"
"5296","Jason Kendall",2005,"Pittsburgh Pirates",150,10.571,12.636,2.4,"re-signinging",6,2001,2007,5,0.83,"Catcher"
"5424","Jhonny Peralta",2005,"Cleveland Indians",141,0.317,0.379,5.1,"re-signinging",5,2006,2011,0,0,"Shortstop, Third Baseman"
"5494","Jim Thome",2005,"Philadelphia Phillies",59,13.167,15.738,0.2,"free agency",6,2003,2009,3,0.5,"First Baseman, Designated Hitter, Third Baseman"
"5638","Jimmy Rollins",2005,"Philadelphia Phillies",158,3.85,4.602,4.9,"re-signinging",5,2005,2010,1,0.2,"Shortstop"
"6069","Jorge Posada",2005,"New York Yankees",142,11,13.148,4.4,"re-signinging",5,2002,2007,4,0.8,"Catcher"
"6745","Kevin Millwood",2005,"Texas Rangers",30,7,8.367,4,"free agency",5,2006,2011,0,0,"Pitcher"
"6968","Magglio Ordonez",2005,"Detroit Tigers",82,7.2,8.606,1.5,"free agency",5,2005,2010,1,0.2,"Rightfielder"
"7202","Miguel Tejada",2005,"Baltimore Orioles",162,11,13.148,5.9,"free agency",6,2004,2010,2,0.33,"Shortstop, Third Baseman"
"7385","Mike Mussina",2005,"New York Yankees",30,19,22.71,3.4,"free agency",6,2001,2007,5,0.83,"Pitcher"
"7985","Pat Burrell",2005,"Philadelphia Phillies",154,7.25,8.666,3.6,"free agency",6,2003,2009,3,0.5,"Leftfielder, First Baseman"
"8094","Paul Konerko",2005,"Chicago White Sox",158,8.75,10.459,4.1,"re-signinging",5,2006,2010,0,0,"First Baseman"
"8109","Preston Wilson",2005,"Florida Marlins",139,12.5,14.941,-0.213,"re-signinging",5,2001,2005,5,1,"Centerfielder"
"8566","Roy Oswalt",2005,"Houston Astros",35,5.9,7.052,5.9,"re-signinging",5,2006,2011,0,0,"Pitcher"
"8948","Shawn Green",2005,"Los Angeles Dodgers",158,7.833,9.363,1.1,"re-signinging",6,2000,2006,6,1,"Rightfielder, First Baseman"
"9467","Vernon Wells",2005,"Toronto Blue Jays",156,3.07,3.669,3.3,"re-signinging",5,2003,2007,3,0.6,"Centerfielder"
"9734","Victor Martinez",2005,"Cleveland Indians",147,0.372,0.445,5.2,"re-signinging",5,2005,2010,1,0.2,"Catcher, First Baseman"
"9836","Vladimir Guerrero",2005,"Anaheim Angels",141,12.5,14.941,5.7,"free agency",5,2004,2009,2,0.4,"Rightfielder"
"169","A.J. Burnett",2006,"Toronto Blue Jays",21,2.2,2.548,1.9,"free agency",5,2006,2011,1,0.2,"Pitcher"
"297","Adrian Beltre",2006,"Seattle Mariners",156,12.9,14.938,5.4,"free agency",5,2005,2010,2,0.4,"Third Baseman"
"678","Albert Pujols",2006,"St. Louis Cardinals",143,14,16.212,8.4,"re-signinging",7,2004,2011,3,0.43,"First Baseman, Leftfielder, Third Baseman"
"1181","Andruw Jones",2006,"Atlanta Braves",156,13.5,15.633,5.6,"re-signinging",6,2002,2008,5,0.83,"Centerfielder"
"1252","Aramis Ramirez",2006,"Chicago Cubs",157,10.75,12.448,3.5,"re-signinging",5,2007,2011,0,0,"Third Baseman"
"1364","B.J. Ryan",2006,"Toronto Blue Jays",65,4,4.632,3.5,"free agency",5,2006,2011,1,0.2,"Pitcher"
"1480","Barry Bonds",2006,"San Francisco Giants",130,19.331,22.385,4,"re-signinging",5,2002,2007,5,1,"Leftfielder"
"1550","Barry Zito",2006,"San Francisco Giants",34,7.9,9.148,4.4,"free agency",7,2007,2013,0,0,"Pitcher"
"1675","Bobby Abreu",2006,"Philadelphia Phillies",156,13.6,15.748,1.963,"re-signinging",5,2002,2007,5,1,"Rightfielder"
"1938","Brian McCann",2006,"Atlanta Braves",130,0.334,0.386,4.3,"re-signinging",6,2007,2012,0,0,"Catcher"
"2101","Carl Crawford",2006,"Tampa Bay Devil Rays",151,2.625,3.04,4.5,"re-signinging",6,2005,2011,2,0.33,"Leftfielder"
"2211","Carlos Beltran",2006,"New York Mets",140,13.571,15.715,8.2,"free agency",7,2005,2012,2,0.29,"Centerfielder"
"2327","Carlos Lee",2006,"Houston Astros",161,8.5,9.843,1.724,"free agency",6,2007,2013,0,0,"Leftfielder, First Baseman"
"2435","Carlos Zambrano",2006,"Chicago Cubs",33,6.5,7.527,5.2,"re-signinging",5,2007,2012,0,0,"Pitcher"
"2530","Chan Ho Park",2006,"Texas Rangers",24,15.505,17.955,-0.4,"free agency",5,2002,2007,5,1,"Pitcher"
"2693","Chase Utley",2006,"Philadelphia Phillies",160,0.5,0.579,7.3,"re-signinging",7,2007,2014,0,0,"Second Baseman"
"2738","Chris Carpenter",2006,"St. Louis Cardinals",32,5,5.79,5.1,"re-signinging",5,2007,2011,0,0,"Pitcher"
"3375","David DeJesus",2006,"Kansas City Royals",119,0.5,0.579,3,"re-signinging",5,2006,2011,1,0.2,"Outfielder"
"3455","David Wright",2006,"New York Mets",154,0.374,0.433,4.1,"re-signinging",6,2006,2012,1,0.17,"Third Baseman"
"3664","Derek Jeter",2006,"New York Yankees",154,20.6,23.854,5.5,"re-signinging",10,2001,2011,6,0.6,"Shortstop"
"3732","Derrek Lee",2006,"Chicago Cubs",50,9.417,10.904,0.8,"re-signinging",5,2006,2010,1,0.2,"First Baseman"
"4030","Eric Chavez",2006,"Oakland Athletics",137,9.5,11.001,2.8,"re-signinging",6,2004,2010,3,0.5,"Third Baseman"
"4082","Eric Hinske",2006,"Toronto Blue Jays",109,4.425,5.124,0.716,"re-signinging",5,2003,2007,4,0.8,"Third Baseman, Pinch Hitter, Outfielder"
"4227","Gary Matthews Jr.",2006,"Los Angeles Angels of Anaheim",147,2.388,2.765,5.2,"free agency",5,2007,2012,0,0,"Outfielder"
"4279","Gil Meche",2006,"Kansas City Royals",32,3.7,4.284,0.9,"free agency",5,2007,2012,0,0,"Pitcher"
"4352","Grady Sizemore",2006,"Cleveland Indians",162,0.5,0.579,6.6,"re-signinging",6,2006,2011,1,0.17,"Centerfielder"
"4597","Ichiro Suzuki",2006,"Seattle Mariners",161,12.5,14.475,5.3,"re-signinging",5,2007,2012,0,0,"Rightfielder"
"4879","J.D. Drew",2006,"Boston Red Sox",146,11.4,13.201,4,"free agency",5,2007,2011,0,0,"Rightfielder"
"4957","J.D. Drew",2006,"Boston Red Sox",146,11.4,13.201,4,"free agency",5,2007,2012,0,0,"Rightfielder"
"5164","Jason Giambi",2006,"New York Yankees",139,20.429,23.656,2.8,"free agency",7,2002,2009,5,0.71,"First Baseman, Designated Hitter, Leftfielder"
"5264","Jason Kendall",2006,"Pittsburgh Pirates",143,11.492,13.308,3.7,"re-signinging",6,2001,2007,6,1,"Catcher"
"5456","Jhonny Peralta",2006,"Cleveland Indians",149,0.377,0.437,0.9,"re-signinging",5,2006,2011,1,0.2,"Shortstop, Third Baseman"
"5516","Jim Thome",2006,"Philadelphia Phillies",143,14.167,16.405,4.9,"free agency",6,2003,2009,4,0.67,"First Baseman, Designated Hitter, Third Baseman"
"5662","Jimmy Rollins",2006,"Philadelphia Phillies",158,5,5.79,4.6,"re-signinging",5,2005,2010,2,0.4,"Shortstop"
"6039","Jorge Posada",2006,"New York Yankees",143,12,13.896,4,"re-signinging",5,2002,2007,5,1,"Catcher"
"6193","Juan Pierre",2006,"Los Angeles Dodgers",162,5.75,6.658,2,"free agency",5,2007,2012,0,0,"Outfielder"
"6759","Kevin Millwood",2006,"Texas Rangers",34,7.869,9.112,2.7,"free agency",5,2006,2011,1,0.2,"Pitcher"
"7013","Magglio Ordonez",2006,"Detroit Tigers",155,16.2,18.759,1.8,"free agency",5,2005,2010,2,0.4,"Rightfielder"
"7138","Michael Young",2006,"Texas Rangers",162,3.075,3.561,3.8,"re-signinging",5,2007,2012,0,0,"Shortstop, Third Baseman, Second Baseman"
"7232","Miguel Tejada",2006,"Baltimore Orioles",162,11.811,13.677,4.5,"free agency",6,2004,2010,3,0.5,"Shortstop, Third Baseman"
"7331","Mike Mussina",2006,"New York Yankees",32,19,22.001,5,"free agency",6,2001,2007,6,1,"Pitcher"
"7687","Nick Swisher",2006,"Oakland Athletics",157,0.335,0.388,3.5,"re-signinging",5,2007,2011,0,0,"Rightfielder, First Baseman"
"7996","Pat Burrell",2006,"Philadelphia Phillies",144,9.75,11.29,1.1,"free agency",6,2003,2009,4,0.67,"Leftfielder, First Baseman"
"8049","Paul Konerko",2006,"Chicago White Sox",152,12,13.896,2.9,"re-signinging",5,2006,2010,1,0.2,"First Baseman"
"8377","Rocco Baldelli",2006,"Tampa Bay Devil Rays",92,2,2.316,3.2,"re-signinging",6,2006,2012,1,0.17,"Centerfielder"
"8544","Roy Oswalt",2006,"Houston Astros",33,11,12.738,5.9,"re-signinging",5,2006,2011,1,0.2,"Pitcher"
"8998","Stephen Drew",2006,"Arizona Diamondbacks",59,0.3,0.347,1.7,"free agency",5,2005,2010,2,0.4,"Shortstop"
"9659","Vernon Wells",2006,"Toronto Blue Jays",154,4.47,5.176,6.2,"re-signinging",7,2007,2014,0,0,"Centerfielder"
"9725","Victor Martinez",2006,"Cleveland Indians",153,1,1.158,2.8,"re-signinging",5,2005,2010,2,0.4,"Catcher, First Baseman"
"9791","Vladimir Guerrero",2006,"Anaheim Angels",156,13.5,15.633,3.7,"free agency",5,2004,2009,3,0.6,"Rightfielder"
"85","A.J. Burnett",2007,"Toronto Blue Jays",25,13.2,14.861,2.4,"free agency",5,2006,2011,2,0.4,"Pitcher"
"269","Aaron Rowand",2007,"San Francisco Giants",161,4.35,4.897,5.1,"free agency",5,2008,2013,0,0,"Centerfielder"
"447","Adrian Beltre",2007,"Seattle Mariners",149,12.9,14.523,3.8,"free agency",5,2005,2010,3,0.6,"Third Baseman"
"798","Albert Pujols",2007,"St. Louis Cardinals",158,12.938,14.566,8.7,"re-signinging",7,2004,2011,4,0.57,"First Baseman, Leftfielder, Third Baseman"
"902","Alex Rios",2007,"Toronto Blue Jays",161,2.535,2.854,5.6,"re-signinging",6,2008,2014,0,0,"Rightfielder"
"961","Alex Rodriguez",2007,"New York Yankees",158,22.709,25.566,9.4,"re-signinging",10,2008,2015,0,0,"Shortstop, Third Baseman"
"1113","Andruw Jones",2007,"Atlanta Braves",154,14,15.762,3,"re-signinging",6,2002,2008,6,1,"Centerfielder"
"1280","Aramis Ramirez",2007,"Chicago Cubs",132,9,10.132,5.2,"re-signinging",5,2007,2011,1,0.2,"Third Baseman"
"1331","B.J. Ryan",2007,"Toronto Blue Jays",5,7,7.881,-0.6,"free agency",5,2006,2011,2,0.4,"Pitcher"
"1537","Barry Zito",2007,"San Francisco Giants",34,10,11.258,2,"free agency",7,2007,2013,1,0.14,"Pitcher"
"1959","Brian McCann",2007,"Atlanta Braves",139,0.44,0.495,1,"re-signinging",6,2007,2012,1,0.17,"Catcher"
"2021","Carl Crawford",2007,"Tampa Bay Devil Rays",143,4.125,4.644,3.9,"re-signinging",6,2005,2011,3,0.5,"Leftfielder"
